"unitid","revenue","expenditure","enrollment","partic","women"
111434,192.676,137.074,450.2,163,0
111461,1203.164,1168.522,3121.2,617,0
111887,3611.016,3411.027,3187.8,816,0
111920,1563.994,1563.994,1850.4,472,0
111939,1886.669,1804.398,2627,390,0
111948,3057.023,3057.023,2539.30555555556,689,0
112075,12505.259,12505.259,629.181818181818,908,0
112084,5325.905,5303.058,255.4,249,0
112172,2200.039,2244.755,2385.25,407,0
112190,595.309,595.309,3490.2,379,0
112260,5261.566,5261.566,684.512195121951,1043,0
112686,300.723,290.987,642.833333333333,250,0
112826,732.762,730.016,768.4,197,0
113096,1272.049,1223.544,1700,266,0
113111,113.081,113.081,898.25,26,0
113193,1118.467,867.915,1627.6,428,0
113218,745.913,735.226,984.684210526316,347,0
113236,1157.312,953.769,2362.55555555556,295,0
113333,2202.199,2194.749,5294.66666666667,666,0
113573,1042.821,1042.821,2023,437,0
113634,1666.338,1528.763,3862.8,491,0
113698,4875.355,4875.355,321.8,305,0
113856,1369.374,1348.613,3494.6,332,0
113980,2100.794,2095.151,3946.03125,769,0
114266,344.157,343.157,1222.8,119,0
114433,2293.501,2293.501,258.6,304,0
114716,1103.571,1103.571,2279.84210526316,286,0
114789,2382.596,2317.459,3256.48275862069,557,0
114813,12390.694,12064.776,630.48275862069,683,0
114859,1483.561,1471.368,3819.48717948718,622,0
114938,172.986,174.564,875.2,66,0
115001,594.405,608.221,3026.5,509,0
115126,1627.209,1501.656,1866.06451612903,644,0
115296,1412.336,1332.654,2655.2,368,0
115393,705.337,665.69,1597.52380952381,517,0
115728,6706.573,6706.573,200.884615384615,430,0
115755,5388.06,5184.84,3026.8,498,0
115861,531.418,474.649,1616.8,219,0
116439,3096.379,3096.379,2521.58333333333,402,0
117052,1003.727,959.04,1390.125,169,0
117104,859.259,859.259,187.571428571429,106,0
117140,3695.888,3268.731,1544.6,661,0
117195,582.111,569.55,317.4,158,0
117274,893.219,861.409,327.4,257,0
117627,1207.057,1196.103,675.769230769231,177,0
117645,2367.807,2346.355,4184,749,0
117690,755.023,733.796,1171.30769230769,300,0
117706,484.97,492.938,2554,181,0
117715,380.128,380.128,469.2,78,0
117724,649.237,646.639,1765.5,145,0
117733,1314.417,1230.703,1850.8,211,0
117751,6930.22,6930.22,476.095238095238,367,0
117867,37.951,37.951,814,12,0
117894,233.705,260.536,1402.2,82,0
117946,35541.558,35541.558,2730.8,713,0
118347,649.003,649.003,615.222222222222,172,0
118541,5472.88,5212.784,392.529411764706,387,0
118684,646.742,619.27,458.666666666667,181,0
118693,16853.603,16693.061,410.241379310345,566,0
118718,1389.883,1389.883,1994,268,0
118772,549.651,549.651,451.4,312,0
118912,488.29,474.884,2286.8,259,0
118930,187.612,185.748,890,17,0
118976,1166.94,1166.94,2451.6,661,0
119067,502.586,502.586,1116.0625,221,0
119137,1124.578,1009.679,2843.4,499,0
119164,3737.644,3476.64,5044.54054054054,1258,0
119216,470.395,463.694,2390,146,0
119331,648.789,648.96,950.461538461538,192,0
120184,3901.313,3901.313,245.6,312,0
120254,3743.917,3404.944,835.235294117647,870,0
120290,754.514,721.263,1681.42105263158,290,0
120342,2957.172,2953.264,4358.4,1170,0
120421,984.542,938.133,947.8,257,0
120537,9817.494,9664.912,262.4,407,0
120865,859.208,859.208,447.8,127,0
120883,29089.156,29089.156,1643.79166666667,503,0
120953,36.927,36.927,5735,16,0
120971,1120.849,1053.869,3846.92307692308,586,0
121044,2003.874,2004.074,5193.125,424,0
121150,31277.024,31277.024,1321.26086956522,368,0
121309,7501.372,7337.442,931.2,256,0
121345,5008.589,4901.782,778.666666666667,892,0
121363,386.434,360.916,672,75,0
121619,1180.554,1180.554,2512.52,406,0
121691,4384.43,4398.258,1054.6,882,0
121707,843.574,825.982,761.8,302,0
121886,817.837,816.377,2092,302,0
121901,2815.672,2815.672,2467.2,924,0
122180,1214.431,1214.431,2431.04761904762,318,0
122205,2547.983,2537.746,2888,475,0
122339,1347.097,1287.88,1442.77272727273,318,0
122375,2402.426,2241.16,2726.89473684211,771,0
122384,338.62,333.535,1541.42857142857,91,0
122409,45927.01,39845.654,12069.2,358,0
122436,24179.304,24179.583,2494.8,514,0
122597,4307.376,4290.009,9365.94117647059,337,0
122612,34949.658,34949.658,2405,417,0
122658,2016.098,1735.301,2936.8,575,0
122728,5704.874,5507.372,409.6,399,0
122746,779.865,779.865,875,121,0
122755,19601.3,19601.193,11531.0384615385,497,0
